 1. SNARE | score: 52.5567 | visits: 52
293. HEIRS | score: 48.5042 | visits: 48
294. PAIRE | score: 48.5037 | visits: 48
295. SPALE | score: 48.5036 | visits: 48
296. PEARL | score: 48.5030 | visits: 48
297. SPEAR | score: 48.5030 | visits: 48
298. WEIRS | score: 47.5077 | visits: 47
299. TORAN | score: 47.5077 | visits: 47
300. REOIL | score: 47.5077 | visits: 47
301. CESTA | score: 47.5076 | visits: 47
302. DERAT | score: 47.5076 | visits: 47
303. LENOS | score: 47.5075 | visits: 47
304. SAFER | score: 47.5075 | visits: 47
305. LACER | score: 47.5073 | visits: 47
306. TONES | score: 47.5073 | visits: 47
307. ACERS | score: 47.5072 | visits: 47
308. SITAR | score: 47.5072 | visits: 47
309. LACES | score: 47.5072 | visits: 47
310. SEROW | score: 47.5071 | visits: 47
311. OATEN | score: 47.5071 | visits: 47
312. CARON | score: 47.5071 | visits: 47
313. HATER | score: 47.5071 | visits: 47
314. IRONE | score: 47.5071 | visits: 47
315. SAMEN | score: 47.5070 | visits: 47
316. ACORN | score: 47.5070 | visits: 47
317. TALES | score: 47.5070 | visits: 47
318. RECON | score: 47.5069 | visits: 47
319. SWINE | score: 47.5069 | visits: 47
320. ACRES | score: 47.5068 | visits: 47
321. CEORL | score: 47.5068 | visits: 47
322. SAGER | score: 47.5068 | visits: 47
323. DARES | score: 47.5067 | visits: 47
324. SLOAN | score: 47.5067 | visits: 47
325. SOLER | score: 47.5067 | visits: 47
326. LIERS | score: 47.5067 | visits: 47
327. TRICE | score: 47.5065 | visits: 47
328. SWEAR | score: 47.5065 | visits: 47
329. LACET | score: 47.5065 | visits: 47
330. SPART | score: 47.5064 | visits: 47
331. PERTS | score: 47.5064 | visits: 47
332. CORES | score: 47.5064 | visits: 47
333. CAIRN | score: 47.5062 | visits: 47
334. ONSET | score: 47.5061 | visits: 47
335. TERAI | score: 47.5060 | visits: 47
336. RAPES | score: 47.5060 | visits: 47
337. GEARS | score: 47.5060 | visits: 47
338. RENAY | score: 47.5059 | visits: 47
339. DEANS | score: 47.5058 | visits: 47
340. REAMY | score: 47.5057 | visits: 47
341. STADE | score: 47.5057 | visits: 47
342. RENDS | score: 47.5056 | visits: 47
343. LANDE | score: 47.5056 | visits: 47
344. SAUTE | score: 47.5056 | visits: 47
345. PEANS | score: 47.5055 | visits: 47
346. SLAIN | score: 47.5054 | visits: 47
347. TRONA | score: 47.5054 | visits: 47
348. TEILS | score: 47.5054 | visits: 47
349. ARSED | score: 47.5054 | visits: 47
350. PROSE | score: 47.5053 | visits: 47
351. SMORE | score: 47.5053 | visits: 47
352. LONER | score: 47.5052 | visits: 47
353. PAISE | score: 47.5052 | visits: 47
354. SCORN | score: 47.5052 | visits: 47
355. PASTE | score: 47.5050 | visits: 47
356. GRACE | score: 47.5050 | visits: 47
357. TAPEN | score: 47.5050 | visits: 47
358. RECIT | score: 47.5049 | visits: 47
359. THRAE | score: 47.5049 | visits: 47
360. SONDE | score: 47.5049 | visits: 47
361. CADRE | score: 47.5048 | visits: 47
362. NATES | score: 47.5047 | visits: 47
363. PEATS | score: 47.5047 | visits: 47
364. CRAVE | score: 47.5046 | visits: 47
365. RONDE | score: 47.5045 | visits: 47
366. SWORE | score: 47.5045 | visits: 47
367. MASER | score: 47.5045 | visits: 47
368. RECAL | score: 47.5045 | visits: 47
369. SCANT | score: 47.5044 | visits: 47
370. LOWNE | score: 47.5044 | visits: 47
371. STURE | score: 47.5043 | visits: 47
372. WRENS | score: 47.5041 | visits: 47
373. RESOW | score: 47.5041 | visits: 47
374. REAKS | score: 47.5041 | visits: 47
375. YEANS | score: 47.5040 | visits: 47
376. PERIS | score: 47.5038 | visits: 47
377. RESID | score: 47.5038 | visits: 47
378. OATER | score: 47.5038 | visits: 47
379. SORED | score: 47.5036 | visits: 47
380. NEIST | score: 47.5036 | visits: 47
381. LYASE | score: 47.5035 | visits: 47
382. DORSE | score: 47.5035 | visits: 47
383. CIRES | score: 47.5033 | visits: 47
384. SPIER | score: 47.5033 | visits: 47
385. REWIN | score: 47.5033 | visits: 47
386. ROUEN | score: 47.5033 | visits: 47
387. SCENA | score: 47.5032 | visits: 47
388. LASED | score: 47.5032 | visits: 47
389. SALEP | score: 47.5031 | visits: 47
390. LENIS | score: 47.5030 | visits: 47
391. NOISE | score: 47.5029 | visits: 47
392. CLINE | score: 47.5028 | visits: 47
393. ALTER | score: 47.5028 | visits: 47
394. SEWIN | score: 47.5027 | visits: 47
395. RITES | score: 47.5027 | visits: 47
396. LEASH | score: 47.5027 | visits: 47
397. STILE | score: 47.5027 | visits: 47
398. AYRES | score: 47.5026 | visits: 47
399. ROINS | score: 47.5026 | visits: 47
400. TAPER | score: 47.5025 | visits: 47
401. TRONS | score: 47.5024 | visits: 47
402. ARLES | score: 47.5024 | visits: 47
403. SATYR | score: 47.5024 | visits: 47
404. REWON | score: 47.5024 | visits: 47
405. TASED | score: 47.5023 | visits: 47
406. LINES | score: 47.5023 | visits: 47
407. SAINT | score: 47.5022 | visits: 47
408. HEROS | score: 47.5022 | visits: 47
409. FLANE | score: 47.5020 | visits: 47
410. LIENS | score: 47.5020 | visits: 47
411. SNAKE | score: 47.5020 | visits: 47
412. SENTI | score: 47.5019 | visits: 47
413. RATEL | score: 47.5019 | visits: 47
414. RHONE | score: 47.5018 | visits: 47
415. SAREE | score: 47.5018 | visits: 47
416. SNARL | score: 47.5017 | visits: 47
417. RATHE | score: 47.5017 | visits: 47
418. SHONE | score: 47.5016 | visits: 47
419. LOANS | score: 47.5016 | visits: 47
420. WEARY | score: 47.5016 | visits: 47
421. LORAN | score: 47.5015 | visits: 47
422. THALE | score: 47.5015 | visits: 47
423. STYRE | score: 47.5014 | visits: 47
424. ROTAN | score: 47.5014 | visits: 47
425. RHEAS | score: 47.5013 | visits: 47
426. HEARD | score: 47.5012 | visits: 47
427. REPOS | score: 47.5012 | visits: 47
428. SHIER | score: 47.5012 | visits: 47
429. STOLE | score: 47.5012 | visits: 47
430. BRACE | score: 47.5012 | visits: 47
431. ROUES | score: 47.5012 | visits: 47
432. COSTE | score: 47.5012 | visits: 47
433. ROIST | score: 47.5012 | visits: 47
434. ELANS | score: 47.5012 | visits: 47
435. SABER | score: 47.5010 | visits: 47
436. HALSE | score: 47.5010 | visits: 47
437. RAINS | score: 47.5010 | visits: 47
438. LADEN | score: 47.5008 | visits: 47
439. CLADE | score: 47.5008 | visits: 47
440. SATED | score: 47.5008 | visits: 47
441. NEATH | score: 47.5008 | visits: 47
442. SOCLE | score: 47.5007 | visits: 47
443. READY | score: 47.5007 | visits: 47
444. SILER | score: 47.5007 | visits: 47
445. REATE | score: 47.5006 | visits: 47
446. ROLES | score: 47.5006 | visits: 47
447. SERIF | score: 47.5005 | visits: 47
448. SAUCE | score: 47.5005 | visits: 47
449. DEARY | score: 47.5004 | visits: 47
450. TACES | score: 47.5004 | visits: 47
451. ANTES | score: 47.5004 | visits: 47
452. WASTE | score: 47.5004 | visits: 47
453. HARNS | score: 47.5001 | visits: 47
454. REMAN | score: 47.4999 | visits: 47
455. DRONE | score: 47.4999 | visits: 47
456. ACNES | score: 47.4998 | visits: 47
457. ANCLE | score: 47.4998 | visits: 47
458. ANILE | score: 47.4997 | visits: 47
459. SMEAR | score: 47.4996 | visits: 47
460. PRIES | score: 47.4995 | visits: 47
461. ROWEN | score: 47.4995 | visits: 47
462. PETAR | score: 47.4993 | visits: 47
463. COSET | score: 47.4993 | visits: 47
464. HOSEN | score: 47.4992 | visits: 47
465. LAPSE | score: 47.4992 | visits: 47
466. SHOER | score: 47.4992 | visits: 47
467. CEDAR | score: 47.4990 | visits: 47
468. PEALS | score: 47.4990 | visits: 47
469. NURSE | score: 47.4990 | visits: 47
470. CLANS | score: 47.4989 | visits: 47
471. WEALS | score: 47.4989 | visits: 47
472. NEROL | score: 47.4987 | visits: 47
473. AHENT | score: 47.4987 | visits: 47
474. SCAPE | score: 47.4986 | visits: 47
475. PATER | score: 47.4986 | visits: 47
476. HEALS | score: 47.4983 | visits: 47
477. MARES | score: 47.4983 | visits: 47
478. FRISE | score: 47.4983 | visits: 47
479. CARED | score: 47.4982 | visits: 47
480. REDON | score: 47.4981 | visits: 47
481. SPINE | score: 47.4980 | visits: 47
482. WANLE | score: 47.4978 | visits: 47
483. CATES | score: 47.4977 | visits: 47
484. CEILS | score: 47.4977 | visits: 47
485. SUCRE | score: 47.4976 | visits: 47
486. RELAY | score: 47.4976 | visits: 47
487. REPIN | score: 47.4975 | visits: 47
488. STREP | score: 47.4975 | visits: 47
489. CONES | score: 47.4975 | visits: 47
490. CORNS | score: 47.4975 | visits: 47
491. WARNS | score: 47.4974 | visits: 47
492. ROSED | score: 47.4974 | visits: 47
493. WEROS | score: 47.4973 | visits: 47
494. NERDS | score: 47.4973 | visits: 47
495. PRENT | score: 47.4972 | visits: 47
496. FARES | score: 47.4971 | visits: 47
497. SOLAR | score: 47.4970 | visits: 47
498. CLOSE | score: 47.4967 | visits: 47
499. REDOS | score: 47.4967 | visits: 47
500. PARLE | score: 47.4966 | visits: 47
501. MORSE | score: 47.4965 | visits: 47
502. CONTE | score: 47.4964 | visits: 47
503. GORSE | score: 47.4964 | visits: 47
504. RAMEN | score: 47.4963 | visits: 47
505. KESAR | score: 47.4961 | visits: 47
506. SHINE | score: 47.4961 | visits: 47
507. AWNER | score: 47.4961 | visits: 47
508. SNOEP | score: 47.4960 | visits: 47
509. YARNS | score: 47.4959 | visits: 47
510. LOWSE | score: 47.4959 | visits: 47
511. LOTES | score: 47.4958 | visits: 47
512. COSIE | score: 47.4957 | visits: 47
513. HAOLE | score: 47.4957 | visits: 47
514. RUNES | score: 47.4957 | visits: 47
515. EARLS | score: 47.4957 | visits: 47
516. CENTS | score: 47.4955 | visits: 47
517. SOLAN | score: 47.4954 | visits: 47
518. PRONE | score: 47.4952 | visits: 47
519. FARCE | score: 47.4950 | visits: 47
520. SEPAL | score: 47.4950 | visits: 47
521. SOWER | score: 47.4950 | visits: 47
522. NARCS | score: 47.4947 | visits: 47
523. LENTO | score: 47.4945 | visits: 47
524. RAWNS | score: 47.4944 | visits: 47
525. SWILE | score: 47.4943 | visits: 47
526. SALUE | score: 47.4941 | visits: 47
527. SPEAN | score: 47.4940 | visits: 47
528. PANES | score: 47.4940 | visits: 47
529. PERCS | score: 47.4939 | visits: 47
530. HANCE | score: 47.4938 | visits: 47
531. CANEH | score: 47.4931 | visits: 47
532. LOSED | score: 47.4931 | visits: 47
533. SOWLE | score: 47.4929 | visits: 47
534. LOUSE | score: 46.4963 | visits: 46
535. LAIRS | score: 46.4963 | visits: 46
536. LACEY | score: 46.4962 | visits: 46
537. RATED | score: 46.4962 | visits: 46
538. ANODE | score: 46.4962 | visits: 46
539. SORAL | score: 46.4962 | visits: 46
540. MEANT | score: 46.4962 | visits: 46
541. SOLDE | score: 46.4961 | visits: 46
542. BEARS | score: 46.4960 | visits: 46
543. COURE | score: 46.4960 | visits: 46
544. ARTEL | score: 46.4960 | visits: 46
545. HOSER | score: 46.4960 | visits: 46
546. CLIES | score: 46.4959 | visits: 46
547. SCRAT | score: 46.4958 | visits: 46
548. ROPES | score: 46.4958 | visits: 46
549. TAELS | score: 46.4957 | visits: 46
550. CREST | score: 46.4957 | visits: 46
551. SIENT | score: 46.4956 | visits: 46
552. SPEIR | score: 46.4953 | visits: 46
553. ELAIN | score: 46.4953 | visits: 46
554. SOUCE | score: 46.4951 | visits: 46
555. HEATS | score: 46.4950 | visits: 46
556. ADORE | score: 46.4950 | visits: 46
557. RAYLE | score: 46.4950 | visits: 46
558. RHIES | score: 46.4950 | visits: 46
559. SAKER | score: 46.4950 | visits: 46
560. CRONS | score: 46.4949 | visits: 46
561. CURSE | score: 46.4948 | visits: 46
562. TOWSE | score: 46.4947 | visits: 46
563. LUNES | score: 46.4947 | visits: 46
564. CARTS | score: 46.4947 | visits: 46
565. DEALT | score: 46.4946 | visits: 46
566. ONERS | score: 46.4946 | visits: 46
567. RIANT | score: 46.4946 | visits: 46
568. ROWIE | score: 46.4946 | visits: 46
569. REGOS | score: 46.4945 | visits: 46
570. SATEM | score: 46.4944 | visits: 46
571. ROYNE | score: 46.4944 | visits: 46
572. PORES | score: 46.4944 | visits: 46
573. PASEO | score: 46.4944 | visits: 46
574. PLATE | score: 46.4944 | visits: 46
575. PEONS | score: 46.4943 | visits: 46
576. AIRNS | score: 46.4943 | visits: 46
577. SAPOR | score: 46.4943 | visits: 46
578. RANTS | score: 46.4942 | visits: 46
579. MORNE | score: 46.4942 | visits: 46
580. SCENT | score: 46.4941 | visits: 46
581. SALON | score: 46.4941 | visits: 46
582. PORAE | score: 46.4941 | visits: 46
583. ASHEN | score: 46.4940 | visits: 46
584. ARIEL | score: 46.4939 | visits: 46
585. POSER | score: 46.4939 | visits: 46
586. DEROS | score: 46.4939 | visits: 46
587. LOCIE | score: 46.4939 | visits: 46
588. LOAST | score: 46.4938 | visits: 46
589. SHERO | score: 46.4938 | visits: 46
590. ROTAS | score: 46.4938 | visits: 46
591. SLIDE | score: 46.4937 | visits: 46
592. CRUSE | score: 46.4937 | visits: 46
593. TAWER | score: 46.4937 | visits: 46
594. CLAME | score: 46.4936 | visits: 46
595. SIRED | score: 46.4936 | visits: 46
596. ALECS | score: 46.4934 | visits: 46
597. BARES | score: 46.4934 | visits: 46
598. SWORN | score: 46.4934 | visits: 46
599. LOIRS | score: 46.4934 | visits: 46
600. DRAPE | score: 46.4934 | visits: 46
601. REGNA | score: 46.4933 | visits: 46
602. FLARE | score: 46.4933 | visits: 46
603. AURES | score: 46.4933 | visits: 46
604. TINES | score: 46.4932 | visits: 46
605. SELAH | score: 46.4932 | visits: 46
606. NITRE | score: 46.4932 | visits: 46
607. LOURE | score: 46.4931 | visits: 46
608. MEANS | score: 46.4931 | visits: 46
609. CASED | score: 46.4930 | visits: 46
610. BRAES | score: 46.4929 | visits: 46
611. SWART | score: 46.4929 | visits: 46
612. RHINE | score: 46.4928 | visits: 46
613. RACHE | score: 46.4928 | visits: 46
614. HAWSE | score: 46.4928 | visits: 46
615. TIERS | score: 46.4927 | visits: 46
616. PALES | score: 46.4927 | visits: 46
617. SORTA | score: 46.4927 | visits: 46
618. APRES | score: 46.4927 | visits: 46
619. TERNE | score: 46.4926 | visits: 46
620. BASER | score: 46.4926 | visits: 46
621. SOWCE | score: 46.4926 | visits: 46
622. DRENT | score: 46.4926 | visits: 46
623. HERLS | score: 46.4925 | visits: 46
624. DATER | score: 46.4925 | visits: 46
625. LARIS | score: 46.4925 | visits: 46
626. STENO | score: 46.4924 | visits: 46
627. DARNS | score: 46.4923 | visits: 46
628. LEADS | score: 46.4923 | visits: 46
629. CHASE | score: 46.4923 | visits: 46
630. DEALS | score: 46.4920 | visits: 46
631. CARNY | score: 46.4920 | visits: 46
632. LUSER | score: 46.4920 | visits: 46
633. GARES | score: 46.4920 | visits: 46
634. SNIRT | score: 46.4920 | visits: 46
635. SNIDE | score: 46.4920 | visits: 46
636. LOINS | score: 46.4919 | visits: 46
